name,symbol,price,day,time,date,minute
Resolute Forest Products Inc,RFP,4.38,Thursday,12:40,20200924,1239
RBC Target 2021 Corp Bond Index ETF,RQI,10.81,Thursday,12:40,20200924,1239
RBC US Banks Yield Index ETF CAD,RUBY,4.59,Thursday,12:40,20200924,1239
Neptune Wellness Solutions Inc,NEPT,2.22,Thursday,12:40,20200924,1239
Canopy Rivers Inc,RIV,14.37,Thursday,12:40,20200924,1239
Powershares 1 To 3 Yr Lad Float Rate ETF,PFL,9.96,Thursday,12:40,20200924,1239
Sprott Physical Gold Trust CAD,PHYS,14.96,Thursday,12:40,20200924,1239
RBC Quant Global Infras Leaders ETF,RIG,0.9263,Thursday,12:40,20200924,1239
RBC Quant Emrg Mkts Div Leaders ETF,RXD,12.6,Thursday,12:40,20200924,1239
Purpose Multi Strategy Mkt Neutral Fund,PMM,7.72,Thursday,12:40,20200924,1239
Purpose Intl Dividend Fund ETF,PID,12.52,Thursday,12:40,20200924,1239
Platinum Group Metals Ltd,PTM,10.47,Thursday,12:40,20200924,1239
Pretium Resources Inc,PVG,12.53,Thursday,12:40,20200924,1239
Prairie Provident Resources Inc,PPR,4.455,Thursday,12:40,20200924,1239
Purpose Enhanced Dividend Fund ETF,PDIV,0.06,Thursday,12:40,20200924,1239
CPI Card Group Inc,PMTS,1.86,Thursday,12:40,20200924,1239
Purpose Best Ideas Fund ETF,PBI,5.04,Thursday,12:40,20200924,1239
Picton Mahoney Multi Strat Alt Fund ETF,PFMS,0.003,Thursday,12:40,20200924,1239
Peyto Exploration and Dvlpmnt Corp,PEY,13.98,Thursday,12:40,20200924,1239
Phx Energy Services Corp,PHX,1.6404,Thursday,12:40,20200924,1239
Sentry Select Primary Metals Corp,PME,1.41,Thursday,12:40,20200924,1239
Primo Water Corporation,PRMW,13.86,Thursday,12:40,20200924,1239
Americas Silver Corp,USA,5.8,Thursday,12:40,20200924,1239
Purpose Diversified Real Asset Fund ETF,PRA,14.5,Thursday,12:40,20200924,1239
Tecsys Inc J,TCS,6.32,Thursday,12:40,20200924,1239
Trisura Group Ltd,TSU,12.18,Thursday,12:40,20200924,1239
Transatlantic Petroleum Ltd,TNP,7.31,Thursday,12:40,20200924,1239
TD S&P TSX Capped Comp Index ETF,TTP,12.01,Thursday,12:40,20200924,1239
Turquoise Hill Resources Ltd,TRQ,0.8271,Thursday,12:40,20200924,1239
Trillium Therapeutics Inc,TRIL,13.76,Thursday,12:40,20200924,1239
Vista Gold Corp,VGZ,1.11,Thursday,12:40,20200924,1239
Village Farms International Inc,VFF,4.86,Thursday,12:40,20200924,1239
Vermilion Energy Inc,VET,2.575,Thursday,12:40,20200924,1239
Silvercorp Metals Inc,SVM,7.06,Thursday,12:40,20200924,1239
The Second Cup Ltd,SCU,11.05,Thursday,12:40,20200924,1239
Trevali Mining Corp,TV,6.24,Thursday,12:40,20200924,1239
CI First Asset US Trendleaders ETF,SID,2.855,Thursday,12:40,20200924,1239
Stella Jones Inc,SJ,6.08,Thursday,12:40,20200924,1239
Sandstorm Gold Ltd,SSL,7.42,Thursday,12:40,20200924,1239
Scotia Strategic Intl Eqty ETF Portfolio,SINT,1.766,Thursday,12:40,20200924,1239
Suncor Energy Inc,SU,12.65,Thursday,12:40,20200924,1239
Westport Fuel Systems Inc,WPRT,1.655,Thursday,12:40,20200924,1239
Tmx Group Limited,X,7.1,Thursday,12:40,20200924,1239
Ishares MSCI EAFE Index ETF,XIN,1.75,Thursday,12:40,20200924,1239
Global Atomic Corp,GLO,9.01,Thursday,12:43,20200924,1242
Geodrill Limited,GEO,10.71,Thursday,12:43,20200924,1242
General Moly Inc,GMO,0.1169,Thursday,12:43,20200924,1242
Gold Standard Ventures Corp,GSV,0.7336,Thursday,12:43,20200924,1242
Glg Life Tech Corp,GLG,2.385,Thursday,12:43,20200924,1242
Goodfellow Inc,GDL,8.4,Thursday,12:43,20200924,1242
Galiano Gold Inc,GAU,1.375,Thursday,12:43,20200924,1242
Horizons Enhanced Income Gold Prod ETF,HEP,12.52,Thursday,12:43,20200924,1242
Horizons Active CDN Dividend ETF,HAL,12.34,Thursday,12:43,20200924,1242
Accelerate Absolute Return Hdg Fund ETF,HDGE,4.5889999999999995,Thursday,12:43,20200924,1242
Betapro S&P TSX 60 Daily Inverse ETF,HIX,6.45,Thursday,12:43,20200924,1242
Hudbay Minerals Inc,HBM,3.9091,Thursday,12:43,20200924,1242
Helix Biopharm,HBP,2.14,Thursday,12:43,20200924,1242
Gran Tierra Energy Inc,GTE,0.2501,Thursday,12:43,20200924,1242
Horizons Active Pref Share ETF,HPR,0.2539,Thursday,12:43,20200924,1242
Horizons Resolve Adptv Asset Alloc ETF,HRAA,0.0061,Thursday,12:43,20200924,1242
Desjardins CDN Pref Share ETF,DCP,10.11,Thursday,12:43,20200924,1242
Dbox Technologies Inc,DBO,7.16,Thursday,12:43,20200924,1242
Horizons Active High Yield Bond ETF,HYI,14.0,Thursday,12:43,20200924,1242
Dividend Select 15 Corp,DS,1.19,Thursday,12:43,20200924,1242
Hexo Corp,HEXO,0.643,Thursday,12:43,20200924,1242
Blackberry Limited,BB,5.03,Thursday,12:43,20200924,1242
Dynamic Ishares Act Global Fin Ser ETF,DXF,0.7,Thursday,12:43,20200924,1242
Diversified Royalty Corp,DIV,14.65,Thursday,12:43,20200924,1242
Brompton Na Financials Dividend ETF,BFIN,7.04,Thursday,12:43,20200924,1242
First Trust Indxx Innov Trans Proc ETF,BLCK,1.1,Thursday,12:43,20200924,1242
Boralex Inc,BLX,12.13,Thursday,12:43,20200924,1242
Bellus Health Inc,BLU,2.16,Thursday,12:43,20200924,1242
Ensign Energy Services Inc,ESI,10.45,Thursday,12:43,20200924,1242
Baytex Energy Corp,BTE,0.3489,Thursday,12:43,20200924,1242
Entree Resources Ltd,ETG,14.55,Thursday,12:43,20200924,1242
Evolve Active Global Fixed Income ETF,EARN,11.09,Thursday,12:43,20200924,1242
Enerplus Corp,ERF,1.795,Thursday,12:43,20200924,1242
Evolve Innovation Index ETF,EDGE,0.5036,Thursday,12:43,20200924,1242
Bri Chem Corp,BRY,3.145,Thursday,12:43,20200924,1242
Euromax Resources Ltd,EOX,1.37,Thursday,12:43,20200924,1242
Equinox Gold Corp,EQX,11.3,Thursday,12:43,20200924,1242
Energy Fuels Inc,EFR,11.71,Thursday,12:43,20200924,1242
Exemplar Growth and Income Fund ETF,EGIF,12.55,Thursday,12:43,20200924,1242
Electrovaya Inc,EFL,8.71,Thursday,12:43,20200924,1242
Aeterna Zentaris Inc,AEZS,0.3457,Thursday,12:43,20200924,1242
Andlauer Healthcare Group Inc,AND,9.7,Thursday,12:43,20200924,1242
Alamos Gold Inc Cls A,AGI,8.78,Thursday,12:43,20200924,1242
Acuityads Holdings Inc,AT,1.98,Thursday,12:43,20200924,1242
Argonaut Gold Inc,AR,3.115,Thursday,12:43,20200924,1242
